zip,eiaid,utility_name,state,service_type,ownership,comm_rate,ind_rate,res_rate
56265,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.084984681114203,0.08770879265449069,0.12505922611213477
56227,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.084984681114203,0.08770879265449069,0.12505922611213477
56278,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.084984681114203,0.08770879265449069,0.12505922611213477
56225,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.084984681114203,0.08770879265449069,0.12505922611213477
56339,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.084984681114203,0.08770879265449069,0.12505922611213477
56289,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.084984681114203,0.08770879265449069,0.12505922611213477
56226,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.084984681114203,0.08770879265449069,0.12505922611213477
56215,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.084984681114203,0.08770879265449069,0.12505922611213477
56235,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.084984681114203,0.08770879265449069,0.12505922611213477
56256,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.084984681114203,0.08770879265449069,0.12505922611213477
56249,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.084984681114203,0.08770879265449069,0.12505922611213477
56267,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.084984681114203,0.08770879265449069,0.12505922611213477
56207,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.084984681114203,0.08770879265449069,0.12505922611213477
29038,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.1201627004675387,0.07414842446255031,0.15979355632610115
29831,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.1201627004675387,0.07414842446255031,0.15979355632610115
29123,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.1201627004675387,0.07414842446255031,0.15979355632610115
29805,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.1201627004675387,0.07414842446255031,0.15979355632610115
29824,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.1201627004675387,0.07414842446255031,0.15979355632610115
29856,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.1201627004675387,0.07414842446255031,0.15979355632610115
29666,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.1201627004675387,0.07414842446255031,0.15979355632610115
29801,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.1201627004675387,0.07414842446255031,0.15979355632610115
29841,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.1201627004675387,0.07414842446255031,0.15979355632610115
29137,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.1201627004675387,0.07414842446255031,0.15979355632610115
29006,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.1201627004675387,0.07414842446255031,0.15979355632610115
29105,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.1201627004675387,0.07414842446255031,0.15979355632610115
29848,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.1201627004675387,0.07414842446255031,0.15979355632610115
29166,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.1201627004675387,0.07414842446255031,0.15979355632610115
29832,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.1201627004675387,0.07414842446255031,0.15979355632610115
29817,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.1201627004675387,0.07414842446255031,0.15979355632610115
29108,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.1201627004675387,0.07414842446255031,0.15979355632610115
29112,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.1201627004675387,0.07414842446255031,0.15979355632610115
